Participant,Practice,Block,Trial,semantic,gestures,congruent,stimulus,mouse
42,false,44,2,2,2,1,c1,null
42,false,44,3,2,2,1,g2,null
42,false,45,0,2,2,1,g2,null
42,false,45,1,2,2,1,c1,null
42,false,45,2,2,2,1,c2,null
42,false,45,3,2,2,1,g1,null
42,false,46,0,2,2,1,c2,null
42,false,46,1,2,2,1,c1,null
42,false,46,2,2,2,1,g1,null
42,false,46,3,2,2,1,g2,null
42,false,47,0,2,2,1,g1,null
42,false,47,1,2,2,1,c1,null
42,false,47,2,2,2,1,c2,null
42,false,47,3,2,2,1,g2,null
42,false,48,0,2,2,1,c1,null
42,false,48,1,2,2,1,g2,null
42,false,48,2,2,2,1,g1,null
42,false,48,3,2,2,1,c2,null
42,false,49,0,2,2,1,c1,null
42,false,49,1,2,2,1,g2,null
42,false,49,2,2,2,1,g1,null
42,false,49,3,2,2,1,c2,null
42,false,50,0,2,2,1,c1,null
42,false,50,1,2,2,1,g2,null
42,false,50,2,2,2,1,c2,null
42,false,50,3,2,2,1,g1,null
42,true,0,0,2,2,0,c1,right
42,false,51,0,2,2,0,c2,null
42,false,51,1,2,2,0,g2,null
42,false,51,2,2,2,0,g1,null
42,false,51,3,2,2,0,c1,null
42,false,52,0,2,2,0,g1,null
42,false,52,1,2,2,0,g2,null
42,false,52,2,2,2,0,c2,null
42,false,52,3,2,2,0,c1,null
42,false,53,0,2,2,0,g1,null
42,false,53,1,2,2,0,c1,null
42,false,53,2,2,2,0,g2,null
42,false,53,3,2,2,0,c2,null
42,false,54,0,2,2,0,g1,null
42,false,54,1,2,2,0,c2,null
42,false,54,2,2,2,0,g2,null
42,false,54,3,2,2,0,c1,null
42,false,55,0,2,2,0,g1,null
42,false,55,1,2,2,0,c1,null
42,false,55,2,2,2,0,g2,null
42,false,55,3,2,2,0,c2,null
42,false,56,0,2,2,0,c2,null
42,false,56,1,2,2,0,g1,null
42,false,56,2,2,2,0,c1,null
42,false,56,3,2,2,0,g2,null
42,false,57,0,2,2,0,c2,null
42,false,57,1,2,2,0,g1,null
42,false,57,2,2,2,0,g2,null
42,false,57,3,2,2,0,c1,null
42,false,58,0,2,2,0,c1,null
42,false,58,1,2,2,0,g2,null
42,false,58,2,2,2,0,c2,null
42,false,58,3,2,2,0,g1,null
42,false,59,0,2,2,0,g1,null
42,false,59,1,2,2,0,g2,null
42,false,59,2,2,2,0,c2,null
42,false,59,3,2,2,0,c1,null
42,false,60,0,2,2,0,g2,null
42,false,60,1,2,2,0,g1,null
42,false,60,2,2,2,0,c1,null
42,false,60,3,2,2,0,c2,null
42,true,0,0,3,1,0,g2,right
42,false,61,0,3,1,0,c1,null
42,false,61,1,3,1,0,c2,null
42,false,61,2,3,1,0,g2,null
42,false,61,3,3,1,0,g1,null
42,false,62,0,3,1,0,c2,null
42,false,62,1,3,1,0,g1,null
42,false,62,2,3,1,0,g2,null
42,false,62,3,3,1,0,c1,null
42,false,63,0,3,1,0,g1,null
42,false,63,1,3,1,0,c2,null
42,false,63,2,3,1,0,c1,null
42,false,63,3,3,1,0,g2,null
42,false,64,0,3,1,0,g1,null
42,false,64,1,3,1,0,g2,null
42,false,64,2,3,1,0,c1,null
42,false,64,3,3,1,0,c2,null
42,false,65,0,3,1,0,c2,null
42,false,65,1,3,1,0,g1,null
42,false,65,2,3,1,0,g2,null
42,false,65,3,3,1,0,c1,null
42,false,66,0,3,1,0,g1,null
42,false,66,1,3,1,0,c1,null
42,false,66,2,3,1,0,c2,null
42,false,66,3,3,1,0,g2,null
42,false,67,0,3,1,0,c2,null
42,false,67,1,3,1,0,c1,null
42,false,67,2,3,1,0,g2,null
42,false,67,3,3,1,0,g1,null
42,false,68,0,3,1,0,c2,null
42,false,68,1,3,1,0,g1,null
42,false,68,2,3,1,0,c1,null
42,false,68,3,3,1,0,g2,null
42,false,69,0,3,1,0,g2,null
42,false,69,1,3,1,0,c2,null
42,false,69,2,3,1,0,c1,null
42,false,69,3,3,1,0,g1,null
42,false,70,0,3,1,0,g2,null
42,false,70,1,3,1,0,c1,null
42,false,70,2,3,1,0,g1,null
42,false,70,3,3,1,0,c2,null
42,true,0,0,3,1,1,g2,left
